headline,clickbait
You Won't Believe What Happened Next,1
Government Announces New Tax Policy,0
Top 10 Tricks Doctors Hide,1
Researchers Publish New Study,0
The Secret To Losing Weight Fast,1
Scientists Discover New Planet,0
This Shocking Video Will Change Your Life,1
Stock Market Closes Higher Today,0
Amazing Results From This Simple Trick,1
Local Election Results Announced,0
Unbelievable Story Of A Rescued Dog,1
Company Reports Quarterly Earnings,0
The Best Way To Save Money Now,1
New Legislation Passed In Senate,0
Top 5 Revealing Secrets About Celebrities,1
Weather Forecast For The Weekend,0
Surprising Facts You Never Knew,1
Global Health Organization Issues Warning,0
This One Trick Will Make You Rich,1
Educational Standards Updated For Schools,0
Should I Get Bings,1
Which TV Female Friend Group Do You Belong In,1
"The New ""Star Wars: The Force Awakens"" Trailer Is Here To Give You Chills",1
"This Vine Of New York On ""Celebrity Big Brother"" Is Fucking Perfect",1
A Couple Did A Stunning Photo Shoot With Their Baby After Learning She Had An Inoperable Brain Tumor,1
How To Flirt With Queer Girls Without Making A Total Fool Of Yourself,1
32 Cute Things To Distract From Your Awkward Thanksgiving,1
If Disney Princesses Were From Florida,1
What's A Quote Or Lyric That Best Describes Your Depression,1
"Natalie Dormer And Sam Claflin Play A Game To See How They'd Actually Last In ""The Hunger Games""",1
16 Perfect Responses To The Indian Patriarchy,1
"21 Times I Died During The ""Captain America: Civil War"" Teaser",1
17 Times Kourtney Kardashian Shut Down Her Own Family,1
Does Coffee Make You Poop,1
Who Is Your Celebrity Ex Based On Your Zodiac,1
17 Hairdresser Struggles Every Black Girl Knows To Be True,1
Are You More Walter White Or Heisenberg,1
The Most Canadian Groom Ever Left His Wedding To Plow Out His Guests In A Snow Storm,1
Here's One Really Weird Thing About Butterfree,1
15 Resolutions To Make Good On In 2016,1
What New Thing Should You Try In 2016,1
Zoo Animals Around The World Are Opening Their Christmas Presents Early,1
Tell Us About Yourself(ie): Erica Ash,1
9 Times I Cried,1
21 Vegetarian Dump Dinners For The Crock Pot,1
This Goat Has Been Bullying His Tiger Friend,1
"8 Fall Shows To Be Excited About, 10 To Give A Chance, And 6 To Avoid",1
"Another Round, Episode 25: Stop Telling Women To Smile",1
16 Signs You Are Too Stubborn To Live,1
This Country Singer Makes Music On His Game Boy In His Spare Time,1
When You Realize Every Guy Is Taken,1
"An Awesome Look At The Behind-The-Scenes Concept Art Of ""Aladdin""",1
"Sarah Jessica Parker Talks Being A Carrie, ""Hocus Pocus,"" And Her Love Of New York",1
Which Type Of Swearer Are You,1
A Dad Recorded All The Adorable Questions His Son Asked When Watching Star Wars For The First Time,1
"29 Impossibly Stylish Cat Gifts, In Order Of Awesomeness",1
13 Of The Most Glorious Made-Up Words From Literature,1
We Pranked A Bunch Of People By Dropping An iPhone In Front Of Them,1
23 Flaws Every Sneakerhead Has,1
We Know Your Zodiac Sign Based On Which Cat You Choose,1
"Grimes On Her New Album And The Heartbreaking Inspiration Behind ""Oblivion""",1
This Instagram Account Is Recreating 2015's Greatest Hits With Barbies,1
The 22 Best Adele Memes,1
17 Pictures Hot People Will Never Understand,1
How Badly Are You Taking The One Direction Hiatus,1
We Know What You Want For Christmas Based On Your Zodiac Sign,1
Guys Try Pinterest Leaf Hacks,1
22 Tips For Hiking With Kids That Every Parent Should Know,1
The Scariest Halloween Candy Taste Test,1
This Dog Begging For His Human's Forgiveness Is The Cutest Thing You'll See Today,1
Here's 100 Years Of Bollywood Cinema In Under Four Minutes,1
Ed Westwick Showed Up To An Emmys Party Looking Like The Chuck Bass Of Your Dreams,1
What Is Your Favorite Activity When Visiting Family,1
Take This Color Test To See How Far You'd Go For Love,1
Are You Brave Enough To Date A Werewolf,1
18 Things Everyone Who Hates PDA Will Understand,1
27 Things That Always Happen In The Office During Christmas,1
How Many Of These SpongeBob Faces Do You Recognize,1
Which Golden Globe Reaction Face Are You Based On Your Zodiac Sign,1
25 Reasons A Trip To Costa Rica Could Actually Change Your Life,1
Literally Just 46 Photos Of Scotland Looking Sexy As Hell,1
58 Things That Mildly Annoy Anyone Who Lives With Someone Messy,1
17 Places All Music Lovers Should Go In London,1
"Do You Know The Lyrics To ""Hotline Bling"" By Drake",1
Which Weasley Should Be Your Best Friend,1
29 Books Every '90s Kid Will Immediately Recognize,1
This Organisation Is Trying To Launch India's First Transgender Model Agency,1
Request Timeout,1
"Issa Rae's ""Insecure"" Is Coming To HBO At Long Last",1
"How Well Do You Know ""Pretty Little Liars""",1
You've Been Using Your Rice Cooker Wrong The Entire Time,1
No Actors Of Color Were Nominated For An Oscar This Year And People Are Pissed,1
This Guy Totally Nailed What A Modern Day Aladdin Would Look Like,1
18 Easy And Delicious One-Pan Breakfasts,1
We Tried Out Magic Wands And Here's What Happened,1
Charli XCX Looked Like A Space Dominatrix At The MTV EMAs,1
If The Avengers Looked Like They Originally Did In The Comics,1
13 Reasons Urinals Are The Worst Human Invention Of All Time,1
Will You Get A Free Car From Oprah Or A Free Tub Of Vaseline From Tyra,1
28 Of The Most Canadian Crimes Ever Committed,1
19 Beautiful Places In Scotland That Give People All The Feels,1
Here's How To Actually Get Rid Of Acne All Over Your Body,1
This 24-Year-Old Guy Got Drunk And Accidentally Booked An Insane Vacation,1
I Asked Guys If They Were Going To Buy Leona Lewis's Exclusive Grindr Album,1
24 Delicious Thanksgiving Desserts That Aren't Pie,1
Country Star Jason Aldean Wore Blackface On Halloween To Dress Up As Lil Wayne,1
17 Times College Literally Sucked The Life Out Of You,1
"The Hardest ""America's Next Top Model"" Quiz You'll Take Today",1
This Color Test Will Determine How You Like To Masturbate,1
42 Of The Most Romantic Lines From YA Literature,1
"This Reporter Responded To A Vulgar Comment With An Awesome ""Your Mama"" Joke",1
22 People Who Were Just Smooth AF,1
Are You Bart Or Lisa,1
Which Zodiac Sign Are You Most Compatible With,1
"How Well Do You Remember ""The Vampire Diaries"" Murder House Party",1
"How Well Do You Remember ""Sabrina, The Teenage Witch""",1
12 Signs You Grew Up In San Francisco,1
What You Say To Someone With Chronic Pain And What They Hear,1
23 Totally Amazing BodyCon Looks You'll Wanna Rock This Fall,1
There's An Amazing New Beauty Box Catering To Women Of Color,1
We Taught These Grandmas How To Do The Nae Nae And It Was Cute AF,1
